GEONAME,LNTITLE,GEOID,TOT_EST,ADU_EST,ADU_MOE,CIT_EST,CIT_MOE,CVAP_EST,CVAP_MOE,ID,totalvotes,TURNOUT,,
"Chattahoochee County, Georgia",Total,05000US13053,11880,9140,52,11420,140,8765,134,13053,1390,0.158585282,,
"Lake County, Tennessee",Total,05000US47095,7645,6475,22,7585,26,6425,34,47095,1970,0.306614786,,
"Geary County, Kansas",Total,05000US20061,36820,25395,97,35520,299,24190,296,20061,7504,0.310210831,,
"Wheeler County, Georgia",Total,05000US13309,7930,6590,,7830,76,6490,76,13309,2102,0.323882897,,
"Mitchell County, Texas",Total,05000US48335,8995,7270,74,8470,162,6760,174,48335,2196,0.324852071,,
"Telfair County, Georgia",Total,05000US13271,16405,13460,168,14470,155,11525,221,13271,3796,0.329370933,,
"Coryell County, Texas",Total,05000US48099,75710,56700,,73505,371,54680,326,48099,18253,0.333814923,,
"Pulaski County, Missouri",Total,05000US29169,53300,41130,,52100,378,40035,340,29169,13488,0.336905208,,
"Forest County, Pennsylvania",Total,05000US42053,7495,7205,557,7415,37,7125,560,42053,2401,0.336982456,,
"Crowley County, Colorado",Total,05000US08025,5535,4805,,5245,109,4510,111,08025,1527,0.338580931,,
"Howard County, Texas",Total,05000US48227,36425,28355,48,33770,379,25730,372,48227,8723,0.339020599,,
"Bee County, Texas",Total,05000US48025,32705,25660,64,31825,182,24785,196,48025,8485,0.34234416,,
"Lincoln County, Arkansas",Total,05000US05079,13935,11440,,13660,51,11170,49,05079,3826,0.34252462,,
"Jackson County, Missouri",Total,05000US29095,683645,518995,,661780,1272,499380,1133,29095,173275,0.346980256,,
"Dooly County, Georgia",Total,05000US13093,14090,11320,,13720,191,10955,191,13093,3859,0.352259242,,
"Comanche County, Oklahoma",Total,05000US40031,124585,94290,,121505,424,91505,401,40031,32564,0.355871264,,
"Todd County, South Dakota",Total,05000US46121,10020,5985,43,9890,145,5970,46,46121,2125,0.355946399,,
"Walker County, Texas",Total,05000US48471,69925,59090,82,66100,594,55555,537,48471,19796,0.356331563,,
"Frio County, Texas",Total,05000US48163,18540,14020,,16845,276,12320,274,48163,4400,0.357142857,,
"Long County, Georgia",Total,05000US13183,17245,12240,115,16480,243,11505,220,13183,4117,0.357844415,,
"Gilmer County, West Virginia",Total,05000US54021,8495,7290,,8300,79,7095,79,54021,2543,0.358421424,,
"Tattnall County, Georgia",Total,05000US13267,25260,19895,,24520,212,19180,188,13267,6903,0.359906152,,
"Liberty County, Georgia",Total,05000US13179,63950,45630,,62450,269,44320,212,13179,16143,0.364237365,,
"St. Francis County, Arkansas",Total,05000US05123,27025,20865,,26455,254,20330,243,05123,7430,0.365469749,,
"Jones County, Texas",Total,05000US48253,19945,16770,112,19380,125,16205,158,48253,5960,0.36778772,,
"Willacy County, Texas",Total,05000US48489,21945,16435,,19245,426,13825,413,48489,5095,0.368535262,,
